ing_file,rname,selected_cat,serv_size,meal_time
C:/Users/JustinandAbigail/Desktop/Fun_Projects/Groceries/recipes/baked_chimichangas.csv,baked chimichangas,southwestern,4,lunch
C:/Users/JustinandAbigail/Desktop/Fun_Projects/Groceries/recipes/BBQ_peach_sliders.csv,BBQ peach sliders,barbeque,4,lunch
C:/Users/JustinandAbigail/Desktop/Fun_Projects/Groceries/recipes/Bean_and_pepper_Fajitas.csv,bean and pepper fajitas,southwestern,4,dinner
C:/Users/JustinandAbigail/Desktop/Fun_Projects/Groceries/recipes/Black_Eyed_Pea_Tacos.csv,Black Eyed Pea Tacos,southwestern,4,dinner
C:/Users/JustinandAbigail/Desktop/Fun_Projects/Groceries/recipes/Buffalo Ranch Sliders.csv,Buffalo Ranch Sliders,american,4,dinner
C:/Users/JustinandAbigail/Desktop/Fun_Projects/Groceries/recipes/Cajun_Cornbread_Casserole.csv,Cajun Cornbread Casserole,cajun,4,lunch
C:/Users/JustinandAbigail/Desktop/Fun_Projects/Groceries/recipes/Cajun Shepherd's Pie.csv,Cajun Shepherd's Pie,cajun,4,lunch
C:/Users/JustinandAbigail/Desktop/Fun_Projects/Groceries/recipes/caprese_spaghetti_squash.csv,caprese spaghetti squash,italian,4,lunch
C:/Users/JustinandAbigail/Desktop/Fun_Projects/Groceries/recipes/Caribbeano_Tacos.csv,Caribbeano Tacos,caribbean,4,dinner
C:/Users/JustinandAbigail/Desktop/Fun_Projects/Groceries/recipes/Carrot Hot Dogs.csv,Carrot Hot Dogs,american,4,dinner
